,ID,Gender,Batch,Amyloid Plaque Count,Amyloid Surface Volume,Amyloid Surface Area,Total Amyloid IID,Microglia Count,Microglia Surface Volume,Microglia Surface Area,Total Microglia IID,HPC Volume,HPC Area
0,10_F_sliceB1,F,1-16,374,4729091.5,899404.938,1870760832.0,1152,2977587.5,1136893.875,1703569792.0,255710960.0,5323315.5
1,10_F_sliceB2,F,1-16,409,4581454.0,949142.0,1999999488.0,1343,2908001.25,1156190.625,1796021120.0,282787520.0,5838405.0
2,11_M_sliceB1,M,1-16,278,4140629.75,764242.312,1598901888.0,1130,2477523.25,987829.812,1144544768.0,215076928.0,4921951.0
3,11_M_sliceB2,M,1-16,278,4602939.0,790922.188,2266299392.0,1185,2377300.5,989329.062,1229622912.0,222075584.0,5075967.5
4,13_M_sliceB1,M,1-16,293,4087838.0,750086.625,2536822272.0,1081,2399334.0,940317.625,1457002240.0,240419856.0,5732657.0
5,13_M_sliceB2,M,1-16,294,3867805.0,734863.812,2001845120.0,1044,2246017.75,912995.812,1313742208.0,214950176.0,5138887.5
6,14_M_sliceB1,M,1-16,442,4893406.0,997908.188,2226413824.0,1635,3612151.75,1464437.5,2260744448.0,383261152.0,7189401.5
7,14_M_sliceB2,M,1-16,419,5063968.0,1033286.438,1781794560.0,1712,3657816.25,1487433.5,2117666176.0,364223168.0,6867965.0
8,15_F_sliceB1,F,1-16,352,5136841.0,944733.562,5428121088.0,1184,3092826.5,1153124.75,2968283904.0,249808544.0,5684165.0
9,15_F_sliceB2,F,1-16,354,5074757.5,975002.125,5119870976.0,1214,3234940.25,1216140.5,3119880960.0,245267744.0,5597833.0
10,16_F_sliceB1,F,1-16,361,6320332.5,1086960.875,5044051456.0,1306,3749167.75,1354243.0,2981162752.0,240632752.0,5015544.0
11,16_F_sliceB2,F,1-16,327,5584292.5,968998.062,4785980928.0,1278,3408021.75,1284969.5,2905732608.0,250019840.0,5209654.0
12,1_F_sliceB1,F,1-16,361,5212023.5,959564.5,3634188800.0,1336,3233013.25,1272815.875,2565478656.0,264901792.0,5300055.0
13,1_F_sliceB2,F,1-16,356,5109694.5,1011148.938,4138799616.0,1397,3394659.75,1346504.375,3230458880.0,267162512.0,5350267.0
14,2_F_sliceB1,F,1-16,406,6030871.0,1053184.75,4707472896.0,1450,3591732.75,1391367.25,3289667072.0,304994368.0,5656765.5
15,2_F_sliceB2,F,1-16,445,5848808.0,1171503.25,3663511296.0,1469,3602157.75,1402228.25,3299702272.0,313946752.0,5764780.5
16,3_M_sliceB1,M,1-16,350,4329251.0,818302.875,1315660928.0,1219,2624352.75,1056765.625,1910699904.0,282172352.0,6112919.5
17,3_M_sliceB2,M,1-16,356,4144980.75,827334.062,1379694464.0,1289,2893936.25,1156179.875,2250736128.0,291188064.0,6305217.5
18,4_M_sliceB1,M,1-16,414,4246780.0,883685.938,1663144064.0,1349,3025647.25,1211166.75,1846656256.0,331234976.0,6055025.0
19,4_M_sliceB2,M,1-16,394,5032794.5,968743.625,2147306880.0,1414,3208460.0,1272463.0,2401040128.0,337344960.0,6165199.5
20,5_F_sliceB1,F,1-16,468,4778356.5,1049125.625,1598713216.0,1571,3318225.75,1356790.125,2202070528.0,292929120.0,5378871.0
21,5_F_sliceB2,F,1-16,415,5805966.0,1143287.125,2714044160.0,1670,3932573.25,1550336.0,3661625344.0,274468800.0,5090681.5
22,6_F_sliceB1,F,1-16,485,4963921.5,1037123.0,1881762176.0,2014,3922407.0,1642415.375,4236822272.0,372562048.0,6535954.0
23,6_F_sliceB2,F,1-16,474,5483484.5,1075461.375,2089465856.0,1971,3706111.25,1557490.625,4361585664.0,386359072.0,6816709.0
24,7_M_sliceB1,M,1-16,446,6542504.0,1282936.75,4073527808.0,1616,3334672.5,1372778.25,2189754112.0,297559360.0,5663441.0
25,7_M_sliceB2,M,1-16,600,5636074.5,1311959.625,3834337536.0,1669,3482385.0,1417467.75,2498817536.0,337089376.0,6395339.5
26,8_M_sliceB1,M,1-16,410,4563805.5,893904.688,1278558976.0,1498,3136845.5,1269166.75,2424109824.0,349419232.0,7216096.5
27,8_M_sliceB2,M,1-16,274,3569280.25,655101.875,1788127104.0,1283,2688468.0,1095762.375,1993003392.0,302391520.0,6261361.0
28,9_F_sliceB1,F,1-16,380,5143412.0,1028392.875,2503372288.0,1421,3149542.75,1267869.625,1710187392.0,299833728.0,6195756.5
29,9_F_sliceB2,F,1-16,318,5063569.0,907599.188,2954426112.0,1301,2859715.5,1129716.0,1793078784.0,286593664.0,5948335.0
30,18_M_sliceB1,M,18-32,172,801551.5,256782.156,1353697280.0,786,723302.562,378974.344,1173204736.0,225545824.0,5221875.5
31,18_M_sliceB2,M,18-32,428,2395643.0,634063.688,3138313472.0,1543,3712581.5,1537870.5,5317660672.0,185318896.0,5344327.5
32,19_M_sliceB1,M,18-32,435,1670644.375,534302.688,1229884672.0,1540,3984291.75,1635789.375,3389033472.0,163113552.0,4721979.5
33,19_M_sliceB2,M,18-32,438,1464811.0,499517.844,1145891712.0,1660,4080507.25,1705247.0,3523637760.0,164929904.0,4774357.0
34,20_F_sliceB1,F,18-32,460,3475254.75,800495.625,4722125824.0,1516,3667229.75,1505405.25,3425074432.0,189788176.0,5226448.5
35,20_F_sliceB2,F,18-32,480,3154147.75,788971.0,4300107264.0,1537,3774917.25,1568181.75,3756741376.0,179518560.0,5173741.0
36,21_F_sliceB1,F,18-32,334,987659.25,350928.375,511770752.0,2206,2209417.75,1107071.75,1239544448.0,182197680.0,5264432.5
37,21_F_sliceB2,F,18-32,399,1023010.875,399800.281,386047744.0,2747,3084471.5,1551890.0,1728811008.0,170077040.0,5166163.0
38,22_F_sliceB1,F,18-32,409,1934856.125,574037.688,1718279936.0,1531,3630556.75,1529825.375,3812651776.0,179684640.0,5187650.5
39,22_F_sliceB2,F,18-32,411,1298088.875,473936.438,952468288.0,1508,3536187.25,1494138.75,3068300800.0,175877648.0,5074633.0
40,23_M_sliceB1,M,18-32,347,1999454.375,551399.062,1704922752.0,1616,3630979.25,1533732.875,2999601920.0,159247536.0,4417717.0
41,23_M_sliceB2,M,18-32,339,1525156.25,462437.812,1525530752.0,1609,3586485.5,1527669.875,2595887872.0,159586240.0,4428365.5
42,24_M_sliceB1,M,18-32,394,1457801.875,452306.0,1122192384.0,1683,3758693.0,1569776.5,3693584384.0,225745040.0,6211414.5
43,24_M_sliceB2,M,18-32,461,1260534.75,434886.531,802323200.0,1806,3708616.25,1591553.375,3252898304.0,229132080.0,6304959.0
44,25_F_sliceB1,F,18-32,506,3370872.5,829872.188,5048139776.0,1521,4030677.5,1633782.375,6708674048.0,198311664.0,5017773.5
