,ID,Gender,Batch,Amyloid Plaque Count,Amyloid Surface Volume,Amyloid Surface Area,Total Amyloid IID,Microglia Count,Microglia Surface Volume,Microglia Surface Area,Total Microglia IID,SBC Volume,SBC Area,LD Count,Avg LD Vol,Avg LD SA,BODIPY IID
0,10_F_sliceC1,F,1-16,288,1166583.625,438035.062,43854036992.0,490,1119713.0,437632.312,24997404672.0,16996964.0,692000.812,8289,3.2845,3.2038,117575506576.4272
1,10_F_sliceC2,F,1-16,320,1183803.75,467083.219,43116535808.0,531,1179797.0,477192.594,30627018752.0,14867409.0,614593.0,15024,2.6541,2.5479,128390285551.905
2,11_M_sliceC1,M,1-16,259,950091.812,367756.094,28675129344.0,440,1010726.25,397711.844,16992372736.0,11859535.0,569160.312,16300,2.746,2.5081,74425393454.0
3,14_M_sliceC1,M,1-16,233,1206129.375,427800.281,37193179136.0,488,1287012.75,467417.594,13300242432.0,15617958.0,629089.0,28902,1.4132,1.0251,68826118880.0
4,14_M_sliceC2,M,1-16,257,1227861.75,454869.25,49287786496.0,433,1157228.375,445694.719,21854535680.0,16735812.0,669622.375,7540,2.9678,2.7107,76319891082.0
5,15_F_sliceC1,F,1-16,351,1278448.75,530543.625,33556256768.0,460,1131629.625,433575.375,19190384640.0,16132059.0,666134.812,10923,2.4973,2.1284,74893577750.0
6,15_F_sliceC2,F,1-16,319,1287664.25,525638.562,53387776000.0,486,1285742.75,465344.844,29860270080.0,17154046.0,701974.438,13846,2.9292,2.6641,73290294318.0
7,16_F_sliceC1,F,1-16,203,1036280.375,367054.312,36520517632.0,410,1033039.938,391298.719,17113054208.0,13187402.0,629430.688,8870,2.5858,2.2015,46113481174.0
8,16_F_sliceC2,F,1-16,204,1018089.875,377275.781,37127548928.0,369,979454.875,368001.906,19767011328.0,11518380.0,558061.688,7525,2.6994,2.34,74805649789.0
9,1_F_sliceC1,F,1-16,281,1395417.5,502689.5,38077616128.0,397,1362212.125,473744.125,26469701632.0,16447112.0,639154.875,9514,2.5415,2.1437,97294206669.0
10,1_F_sliceC2,F,1-16,380,1286052.625,522593.875,34925244416.0,588,1297802.5,512603.969,33544269824.0,17005842.0,660623.0,15294,2.6248,2.2934,98461066011.0
11,2_F_sliceC1,F,1-16,432,994075.438,454622.25,27468453888.0,809,1047176.062,514375.188,51801165824.0,15218738.0,703961.625,11059,2.9031,2.8136,56246759043.0
12,2_F_sliceC2,F,1-16,244,1064554.875,405235.25,44473085952.0,482,1022670.062,425313.75,31978840064.0,14637560.0,677033.875,10348,2.8253,2.5852,46233953570.0
13,3_M_sliceC1,M,1-16,251,1041087.312,386727.312,33003487232.0,439,1007084.312,403457.375,27441289216.0,12390782.0,609048.312,8982,2.5016,2.1318,97388123603.0
14,4_M_sliceC1,M,1-16,278,1024549.125,407583.938,56863592448.0,556,980659.125,439924.938,30447550464.0,13241103.0,629105.375,9482,3.0835,2.968,94974631729.0
15,4_M_sliceC2,M,1-16,323,986885.375,419725.938,47372095488.0,662,1008016.938,476942.156,34115196928.0,13730155.0,648490.375,11581,3.0325,2.9575,166674093489.6049
16,7_M_sliceC1,M,1-16,378,1226359.625,540219.75,25073217536.0,738,1223118.0,545636.438,28025913344.0,14711074.0,599352.75,35723,1.9541,1.8216,235600138267.333
17,7_M_sliceC2,M,1-16,376,1201693.375,546385.875,13357925376.0,850,1205020.125,573643.938,33157281792.0,16624652.0,672819.062,35080,1.5252,1.3209,234937271439.7594
18,8_M_sliceC1,M,1-16,376,1277353.0,559759.062,44787535872.0,564,1175090.25,505446.438,57893748736.0,14431351.0,616405.5,2807,2.514,2.3717,96273939357.0
19,8_M_sliceC2,M,1-16,270,1159546.5,468713.438,35880509440.0,428,1068889.25,423469.719,31215022080.0,14612095.0,622159.812,3793,1.6442,1.2223,67321147123.0
20,9_F_sliceC1,F,1-16,257,1894130.25,621324.0,50465275904.0,497,1750421.0,654756.562,23548190720.0,22619448.0,690789.875,11504,2.6887,2.3843,69928926117.0
21,9_F_sliceC2,F,1-16,258,1672212.625,569108.438,40518598656.0,447,1574070.875,570206.875,19918333952.0,21476106.0,665017.562,7034,2.3378,1.9699,82082626738.0
22,18_M_sliceC1,M,18-32,327,1273971.875,426848.75,37097881600.0,529,973801.562,500464.781,33557448704.0,11766215.0,649171.875,18144,2.3028,1.9966,42424909558.0
23,18_M_sliceC2,M,18-32,274,1258034.5,400497.125,31436611584.0,527,977902.625,498027.75,26785179648.0,11944488.0,651053.75,20029,2.0754,1.7525,51212333076.0
24,19_M_sliceC1,M,18-32,428,1653414.25,556115.25,40259960832.0,772,1188402.875,642348.062,38028402688.0,18143518.0,743465.875,12471,3.0079,3.0681,85872952010.0
25,19_M_sliceC2,M,18-32,357,1642574.125,518506.969,44688654336.0,643,1219405.0,652369.812,43687305216.0,16856194.0,695881.812,19649,2.9292,2.9591,96562268190.0
26,20_F_sliceC1,F,18-32,386,1653218.375,531813.188,43076784128.0,686,1248745.875,661361.438,48902647808.0,17870706.0,757438.5,15531,3.7257,4.1069,91944296190.0
27,20_F_sliceC2,F,18-32,497,1588419.5,557448.062,38165938176.0,804,1279435.875,701027.875,59688370176.0,16478220.0,706263.0,18238,3.281,3.6484,64130849653.0
28,21_F_sliceC1,F,18-32,238,1166518.5,355062.031,20211451904.0,464,1007809.938,520253.25,13886362624.0,11723180.0,597171.688,9735,1.2955,1.0181,54766555528.0
29,21_F_sliceC2,F,18-32,270,1197033.25,357271.031,17099643904.0,494,986070.438,496881.875,11067982848.0,11689112.0,594843.875,14338,1.3974,1.138,95393460150.0
30,22_F_sliceC1,F,18-32,469,2185575.0,688845.938,31807770624.0,806,1516481.75,819007.562,47911329792.0,18145308.0,605369.438,5953,2.4258,2.2955,122000000000.0
31,22_F_sliceC2,F,18-32,539,2176076.0,719638.812,37905453056.0,876,1606376.375,885783.25,60327866368.0,21316238.0,701980.625,14130,2.688,2.7858,140000000000.0
32,23_M_sliceC1,M,18-32,483,1385964.75,491344.344,34658050048.0,776,1202468.5,657659.438,41527427072.0,13752439.0,653432.5,10102,2.755,2.7209,96634037834.0
33,23_M_sliceC2,M,18-32,315,1390443.25,438337.781,39194324992.0,584,1094648.5,571553.562,31879190528.0,14048077.0,666767.812,9725,2.0581,1.7724,54979655714.0
34,24_M_sliceC1,M,18-32,213,801833.875,262748.875,9695040512.0,365,626319.938,342543.281,11486455808.0,7485788.0,529878.562,11,0.6689,0.6703,46702106858.0
