Image,n,Avg Vol,Avg SA,Integrated Intensity Density,Subiculum Area,Z Stack
mouse18_M_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,17419,2.3166,2.0108,42424909558,1048576,94
mouse18_M_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,26589,1.8238,1.5069,51212333076,1048576,94
mouse19_M_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,37215,2.2149,2.0632,85872952010,1048576,130
mouse19_M_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,34023,2.3416,2.1905,64312380.32,1048576,130
mouse20_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,12890,3.5653,3.9055,91944296190,1048576,124
mouse20_F_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,14877,3.1537,3.5196,30538679.76,1048576,124
mouse21_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,3330,1.8094,1.507,54766555528,1048576,103
mouse21_F_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,8251,1.8302,1.5646,95393460150,1048576,103
mouse22_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,8155,2.3432,2.2141,1.22E+11,1048576,174
mouse22_F_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,10395,2.5844,2.683,1.40E+11,1048576,174
mouse23_M_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,20249,2.8991,2.9071,96634037834,1048576,110
mouse23_M_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,11931,2.2077,1.9299,54979655714,1048576,110
mouse24_M_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,181,0.42,0.0694,46702106858,1048576,72
mouse24_M_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,2920,0.6722,0.3102,62860168644,1048576,72
mouse25_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,15488,2.9728,2.9291,82182283231,1048576,100
mouse25_F_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,13134,3.1046,3.0948,99252908222,1048576,100
mouse26_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,15992,2.7006,2.7241,53920658922,1048576,73
mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,81,0.4239,0.035,15237934563,1048576,101
mouse27_F_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,12709,3.1157,3.1051,87612985343,1048576,101
mouse28_M_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,11129,2.1099,1.8513,49429048837,1048576,100
mouse28_M_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,14287,2.2169,1.9649,19149250.45,1048576,100
mouse29_M_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,84,0.561,0.2723,10426808392,1048576,68
mouse29_M_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,2758,1.3359,0.8487,72138702502,1048576,68
mouse30_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,11104,2.0391,1.7547,1.09E+11,1048576,161
mouse30_F_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,17311,1.7141,1.3261,43328268544,1048576,161
mouse31_M_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,7410,1.5059,1.0801,57737401193,1048576,76
mouse32_M_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,62,0.551,0.2009,14239773071,1048576,94
mouse32_M_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,272,0.4682,0.1286,14239773071,1048576,94
