Image,LD Count,Avg Vol,Avg SA,BODIPY IID,D54D2 IID,Iba1 IID,Subiculum Area,Z Stack
mouse18_M_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,8881,1.9634,1.5435,42424909558,31647710094,38112766168,1048576,94
mouse18_M_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,12740,2.1748,1.8216,51212333076,29725967297,30950567451,1048576,94
mouse19_M_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,16083,3.1469,3.2187,85872952010,33702327513,42103174363,1048576,130
mouse19_M_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,12175,2.778,2.8783,96562268190,34315353343,43447124685,1048576,130
mouse20_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,8086,2.9838,3.1249,91944296190,32920166349,47870807556,1048576,124
mouse20_F_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,13240,3.0548,3.3906,64130849653,34394098890,65619518731,1048576,124
mouse21_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,2166,1.6762,1.2903,54766555528,16582857998,19121214911,1048576,103
mouse21_F_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,93264,0.686,0.3343,95393460150,15577864955,17275007518,1048576,103
mouse22_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,7083,2.4063,2.2892,1.22E+11,28788052419,60603058102,1048576,174
mouse22_F_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,15495,2.6687,2.7656,1.40E+11,33522379042,69969302992,1048576,174
mouse23_M_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,15114,3.0243,3.0699,96634037834,34651964170,52892838508,1048576,110
mouse23_M_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,10039,2.0911,1.8056,54979655714,30085755406,33396364254,1048576,110
mouse24_M_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,96,0.3941,0.1445,46702106858,9314589477,20637953732,1048576,72
mouse24_M_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,1504,0.8575,0.4613,62860168644,15750268810,22326003964,1048576,72
mouse25_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,17910,3.0295,3.0209,82182283231,31009911474,74839890006,1048576,100
mouse25_F_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,12375,3.0225,2.9827,99252908222,25744544971,65063446643,1048576,100
mouse26_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,34882,2.1327,2.092,53920658922,34023822481,33802958076,1048576,73
mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,16,2.0802,2.7794,15237934563,33474973747,42432196771,1048576,101
mouse27_F_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,8771,2.9276,2.8405,87612985343,33592629253,49558177917,1048576,101
mouse28_M_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,14609,2.2003,1.954,49429048837,34708122682,62367342986,1048576,100
mouse28_M_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,19419,2.3933,2.171,74543679358,33840242978,68013156404,1048576,100
mouse29_M_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,741,0.608,0.1022,10426808392,26558526932,22680035426,1048576,68
mouse29_M_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,3247,1.3822,0.9021,72138702502,27164476828,24464067315,1048576,68
mouse30_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,9999,1.9957,1.689,1.09E+11,27468418542,38819077311,1048576,161
mouse30_F_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,26585,1.7004,1.2895,43328268544,31151717523,50292097309,1048576,161
mouse31_M_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,9735,1.571,1.1287,57737401193,32860116331,42042518010,1048576,76
mouse32_M_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,4257,0.5949,0.2328,60807851134,18885637366,29052498028,1048576,94
mouse32_M_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,514,0.378,0.1033,14239773071,11676162705,24211949888,1048576,94
