
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,17.503,23002.908,2845.044,3718.133,1636.538,632.000,3500.000,790922.188,278,µm^2,Surface,,,,1,
Intensity Mean,690.391,5919.103,1894.475,870.250,1670.719,1243.000,2250.000,526664.000,278,,Surface,1,,Image 1,1,
Intensity Mean,1234.679,9758.046,3019.207,1130.523,2718.951,2274.000,3560.000,839339.500,278,,Surface,2,,Image 1,1,
Intensity Mean,690.391,5919.103,1871.757,856.205,1625.761,1235.000,2212.000,520348.562,278,,Surface,3,,Image 1,1,
Intensity Mean,1234.679,9758.046,2981.247,1131.109,2668.117,2252.000,3466.000,828786.562,278,,Surface,4,,Image 1,1,
Intensity Sum,4516.000,60802292.000,3933536.000,7951985.000,1062210.500,245760.000,3678207.750,1093522944.000,278,,Surface,1,,Image 1,1,
Intensity Sum,9738.000,154586720.000,8202594.500,20562810.000,1643207.000,360447.812,5701632.000,2280321280.000,278,,Surface,2,,Image 1,1,
Intensity Sum,4516.000,60802292.000,3907698.500,7935887.000,1054386.000,245760.000,3678207.750,1086340224.000,278,,Surface,3,,Image 1,1,
Intensity Sum,9738.000,154586720.000,8152156.500,20539146.000,1523449.500,327680.000,5701632.000,2266299392.000,278,,Surface,4,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,278.000,278,,Surface,,,,1,
Volume,5.274,242956.312,16557.336,34346.230,4873.943,1248.000,13632.000,4602939.000,278,µm^3,Surface,,,,1,
