
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,17.121,21308.000,2683.902,3155.696,1838.306,712.000,3048.000,944733.562,352,µm^2,Surface,,,,1,
Intensity Mean,658.250,14904.233,4002.621,2021.850,3575.485,2546.000,4916.000,1408922.750,352,,Surface,1,,Image 1,1,
Intensity Mean,3419.941,19496.193,8000.517,2160.409,7577.767,6780.000,8700.000,2816182.000,352,,Surface,2,,Image 1,1,
Intensity Mean,658.250,14904.233,3956.281,1994.110,3570.270,2502.000,4876.000,1392611.125,352,,Surface,3,,Image 1,1,
Intensity Mean,3419.941,19496.193,7918.902,2154.839,7480.646,6712.000,8624.000,2787453.500,352,,Surface,4,,Image 1,1,
Intensity Sum,2633.000,136212112.000,7670713.500,15889017.000,2771961.000,589824.000,7274496.000,2700091136.000,352,,Surface,1,,Image 1,1,
Intensity Sum,25529.000,230380704.000,15489768.000,31535072.000,5223907.500,1376256.000,12189698.000,5452398080.000,352,,Surface,2,,Image 1,1,
Intensity Sum,2633.000,136212112.000,7625172.000,15879760.000,2724766.500,589824.000,7274496.000,2684060672.000,352,,Surface,3,,Image 1,1,
Intensity Sum,25529.000,230380704.000,15420799.000,31540856.000,5131111.500,1376256.000,12156929.000,5428121088.000,352,,Surface,4,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,352.000,352,,Surface,,,,1,
Volume,5.531,195174.734,14593.299,28400.510,5874.741,1344.000,12480.000,5136841.000,352,µm^3,Surface,,,,1,
