
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,16.868,4124.554,775.263,827.979,490.862,170.000,1046.000,190714.750,246,µm^2,Surface,,,,1,
Intensity Mean,51.533,17509.359,1713.562,2304.210,854.431,472.000,2024.000,421536.219,246,,Surface,1,,Image 1,1,
Intensity Mean,450.368,11867.536,4696.205,2184.213,4343.538,3122.000,5756.000,1155266.250,246,,Surface,2,,Image 1,1,
Intensity Mean,182.535,37865.891,3037.757,3092.646,2329.991,1424.000,3592.000,747288.250,246,,Surface,3,,Image 1,1,
Intensity Mean,319.778,11352.031,1445.986,1508.619,1105.800,942.000,1348.000,355712.625,246,,Surface,4,,Image 1,1,
Intensity Mean,90.667,11352.031,1392.765,1479.655,1089.781,940.000,1276.000,342620.219,246,,Surface,5,,Image 1,1,
Intensity Mean,182.535,37865.891,2936.613,3017.600,2260.729,1424.000,3456.000,722406.750,246,,Surface,6,,Image 1,1,
Intensity Sum,409.000,7503210.000,592936.438,1160703.500,122732.500,26624.000,487423.875,145862352.000,246,,Surface,1,,Image 1,1,
Intensity Sum,11400.000,18052744.000,1562013.500,2621868.500,469599.500,139264.000,1753087.875,384255328.000,246,,Surface,2,,Image 1,1,
Intensity Sum,2089.000,22075814.000,1151380.750,2383653.500,301394.000,73728.000,1052671.875,283239680.000,246,,Surface,3,,Image 1,1,
Intensity Sum,2878.000,21949476.000,650158.250,1852032.625,147996.500,40960.000,434176.000,159938928.000,246,,Surface,4,,Image 1,1,
Intensity Sum,1360.000,21949476.000,606352.562,1794691.500,147996.500,40960.000,430079.938,149162736.000,246,,Surface,5,,Image 1,1,
Intensity Sum,2089.000,22075814.000,1067338.500,2213011.250,288144.000,73728.000,1019903.938,262565264.000,246,,Surface,6,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,246.000,246,,Surface,,,,1,
Volume,5.229,16669.979,1775.565,2618.510,625.036,140.000,2136.000,436788.969,246,µm^3,Surface,,,,1,
