
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,18.187,6361.322,1003.115,1122.916,624.404,194.000,1330.000,347077.594,346,µm^2,Surface,,,,1,
Intensity Mean,293.808,13855.333,1112.938,961.373,871.603,708.000,1208.000,385076.656,346,,Surface,1,,Image 1,1,
Intensity Mean,79.000,8667.381,1740.849,1179.201,1358.265,1014.000,2092.000,602333.688,346,,Surface,2,,Image 1,1,
Intensity Mean,1619.400,19807.912,4706.155,2277.385,3980.087,3304.000,5272.000,1628329.750,346,,Surface,3,,Image 1,1,
Intensity Mean,79.000,8667.381,1725.403,1147.325,1349.936,1012.000,2066.000,596989.562,346,,Surface,4,,Image 1,1,
Intensity Mean,1619.400,19807.912,4683.094,2276.888,3950.973,3292.000,5192.000,1620350.500,346,,Surface,5,,Image 1,1,
Intensity Sum,2851.000,11993341.000,629518.375,1195037.250,167950.500,36864.000,679936.000,217813344.000,346,,Surface,1,,Image 1,1,
Intensity Sum,590.000,26274924.000,1344160.500,3121255.750,238480.500,57344.000,937984.000,465079520.000,346,,Surface,2,,Image 1,1,
Intensity Sum,8097.000,70798192.000,3546402.750,8225642.000,736350.000,163840.000,2703360.000,1227055360.000,346,,Surface,3,,Image 1,1,
Intensity Sum,590.000,26274924.000,1334614.500,3114914.250,238480.500,57344.000,937984.000,461776640.000,346,,Surface,4,,Image 1,1,
Intensity Sum,8097.000,70798192.000,3533075.250,8224234.000,728161.500,163840.000,2637824.000,1222444032.000,346,,Surface,5,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,346.000,346,,Surface,,,,1,
Volume,5.172,38463.039,3105.892,5384.606,944.800,176.000,3336.000,1074638.625,346,µm^3,Surface,,,,1,
