
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,1.337,8508.681,869.859,936.422,655.608,268.000,1140.000,940317.625,1081,µm^2,Surface,,,,1,
Intensity Mean,405.000,20202.199,4482.981,1440.648,4209.560,3672.000,4952.000,4846103.000,1081,,Surface,1,,Image 1,1,
Intensity Mean,83.000,29648.441,1590.540,3369.218,283.850,200.000,904.000,1719373.250,1081,,Surface,2,,Image 1,1,
Intensity Mean,405.000,20202.199,4477.089,1428.719,4207.209,3672.000,4952.000,4839733.500,1081,,Surface,3,,Image 1,1,
Intensity Mean,83.000,29648.441,1587.420,3364.555,283.850,200.000,904.000,1716001.500,1081,,Surface,4,,Image 1,1,
Intensity Sum,405.000,30503998.000,1352566.125,2441702.000,674280.000,204800.000,1449984.000,1462124032.000,1081,,Surface,1,,Image 1,1,
Intensity Sum,83.000,37970084.000,846315.625,2957103.250,53795.000,16384.000,180224.000,914867200.000,1081,,Surface,2,,Image 1,1,
Intensity Sum,405.000,30503998.000,1347828.250,2417483.750,674280.000,204800.000,1449984.000,1457002240.000,1081,,Surface,3,,Image 1,1,
Intensity Sum,83.000,37970084.000,843917.062,2950999.250,53795.000,16384.000,180224.000,912274304.000,1081,,Surface,4,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1081.000,1081,,Surface,,,,1,
Volume,0.056,36014.980,2219.550,3452.491,1175.921,272.000,2704.000,2399334.000,1081,µm^3,Surface,,,,1,
