
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,0.768,13156.862,1001.763,995.486,770.002,396.000,1284.000,1216140.500,1214,µm^2,Surface,,,,1,
Intensity Mean,3425.000,20453.572,7103.498,1719.877,6773.261,5992.000,7688.000,8623646.000,1214,,Surface,1,,Image 1,1,
Intensity Mean,117.667,31143.625,3430.849,4711.166,1072.364,344.000,4692.000,4165051.250,1214,,Surface,2,,Image 1,1,
Intensity Mean,3425.000,20453.572,7097.883,1714.238,6770.083,5992.000,7688.000,8616830.000,1214,,Surface,3,,Image 1,1,
Intensity Mean,117.667,31143.625,3428.154,4710.059,1072.364,344.000,4692.000,4161779.250,1214,,Surface,4,,Image 1,1,
Intensity Sum,3425.000,89695192.000,2576687.750,4926246.000,1350007.000,557056.000,2785280.000,3128099072.000,1214,,Surface,1,,Image 1,1,
Intensity Sum,706.000,52565560.000,1845057.750,4441354.000,162934.000,49152.000,1449984.750,2239900160.000,1214,,Surface,2,,Image 1,1,
Intensity Sum,3425.000,87920000.000,2569918.500,4889229.500,1350007.000,557056.000,2785280.000,3119880960.000,1214,,Surface,3,,Image 1,1,
Intensity Sum,706.000,51927112.000,1842254.500,4433484.000,162934.000,49152.000,1449984.750,2236496896.000,1214,,Surface,4,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1214.000,1214,,Surface,,,,1,
Volume,0.023,68863.516,2664.695,4051.764,1555.138,544.000,3344.001,3234940.250,1214,µm^3,Surface,,,,1,
