
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,9.153,14893.027,949.453,1370.666,386.953,76.000,1428.000,1527669.875,1609,µm^2,Surface,,,,1,
Intensity Mean,54.167,18304.818,2187.373,2283.667,1532.967,568.000,2888.000,3519483.500,1609,,Surface,1,,Image 1,1,
Intensity Mean,1382.400,16159.208,5612.979,1566.646,5312.262,4612.000,6292.000,9031284.000,1609,,Surface,2,,Image 1,1,
Intensity Mean,1573.200,16195.333,4257.668,1278.944,3984.023,3612.000,4516.000,6850588.500,1609,,Surface,3,,Image 1,1,
Intensity Mean,73.833,15340.550,664.065,1397.867,278.863,204.000,492.000,1068481.250,1609,,Surface,4,,Image 1,1,
Intensity Mean,73.833,15340.550,663.027,1396.956,278.863,204.000,492.000,1066811.000,1609,,Surface,5,,Image 1,1,
Intensity Mean,1573.200,16195.333,4253.789,1279.645,3979.396,3604.000,4516.000,6844346.000,1609,,Surface,6,,Image 1,1,
Intensity Sum,285.000,22010232.000,1054131.250,1816700.500,148637.000,8192.000,1564672.000,1696097152.000,1609,,Surface,1,,Image 1,1,
Intensity Sum,13957.000,51629928.000,2184355.000,4310493.500,578533.000,81920.000,2932736.000,3514627072.000,1609,,Surface,2,,Image 1,1,
Intensity Sum,7866.000,45775836.000,1618852.125,2963547.000,393577.000,81920.000,2342912.000,2604732928.000,1609,,Surface,3,,Image 1,1,
Intensity Sum,372.000,63300944.000,459794.719,2556897.000,41729.000,16384.000,180224.000,739809728.000,1609,,Surface,4,,Image 1,1,
Intensity Sum,372.000,63300944.000,457352.344,2548753.250,41729.000,16384.000,180224.000,735879936.000,1609,,Surface,5,,Image 1,1,
Intensity Sum,7866.000,45775836.000,1613354.750,2941568.000,393577.000,81920.000,2342912.000,2595887872.000,1609,,Surface,6,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1609.000,1609,,Surface,,,,1,
Volume,1.036,39709.680,2229.015,3756.903,502.298,48.000,3376.000,3586485.500,1609,µm^3,Surface,,,,1,
