
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,9.631,20883.496,1074.150,1478.915,788.501,280.000,1256.000,1633782.375,1521,µm^2,Surface,,,,1,
Intensity Mean,67.556,34753.230,4887.972,3897.325,3909.428,2608.000,5904.000,7434605.000,1521,,Surface,1,,Image 1,1,
Intensity Mean,1570.417,25460.750,7575.886,2281.563,7277.276,6296.000,8280.000,11522922.000,1521,,Surface,2,,Image 1,1,
Intensity Mean,2553.000,36271.375,9025.396,4441.166,7522.712,6608.000,9232.000,13727626.000,1521,,Surface,3,,Image 1,1,
Intensity Mean,113.556,30401.166,1877.262,2802.945,669.455,360.000,1992.000,2855316.000,1521,,Surface,4,,Image 1,1,
Intensity Mean,113.556,30401.166,1874.239,2797.814,669.455,360.000,1992.000,2850717.000,1521,,Surface,5,,Image 1,1,
Intensity Mean,2553.000,36271.375,9015.837,4437.421,7520.924,6608.000,9232.000,13713088.000,1521,,Surface,6,,Image 1,1,
Intensity Sum,369.000,40813440.000,1947009.375,3214620.000,1208995.000,311296.000,2080768.000,2961401088.000,1521,,Surface,1,,Image 1,1,
Intensity Sum,11164.000,108201384.000,3733559.750,7027410.500,2042071.000,491520.000,3964928.000,5678744576.000,1521,,Surface,2,,Image 1,1,
Intensity Sum,12765.000,126183824.000,4434489.500,9457639.000,2111471.000,622592.000,4096000.000,6744858112.000,1521,,Surface,3,,Image 1,1,
Intensity Sum,892.000,62480436.000,1461591.500,4808252.500,155927.000,49152.000,475136.000,2223080704.000,1521,,Surface,4,,Image 1,1,
Intensity Sum,892.000,62480436.000,1453096.500,4770427.500,155927.000,49152.000,475136.000,2210159872.000,1521,,Surface,5,,Image 1,1,
Intensity Sum,12765.000,126183824.000,4410699.500,9358519.000,2111471.000,622592.000,4096000.000,6708674048.000,1521,,Surface,6,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1521.000,1521,,Surface,,,,1,
Volume,0.470,66240.664,2650.018,4394.233,1620.944,288.000,3104.000,4030677.500,1521,µm^3,Surface,,,,1,
