
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,335.808,18921.486,2763.970,2973.439,1678.128,952.000,3208.000,1008849.125,365,µm^2,Surface,,,,1,
Intensity Mean,887.419,16837.684,3620.287,2166.568,3074.417,2108.000,4324.000,1321404.875,365,,Surface,1,,Image 1,1,
Intensity Mean,2537.282,14485.182,5581.387,2102.069,5106.517,3844.000,6884.000,2037206.125,365,,Surface,2,,Image 1,1,
Intensity Mean,884.879,15812.683,3571.998,2090.662,3063.252,2108.000,4268.000,1303779.125,365,,Surface,3,,Image 1,1,
Intensity Mean,2537.282,14485.182,5526.473,2096.976,5058.679,3796.000,6852.000,2017162.500,365,,Surface,4,,Image 1,1,
Intensity Sum,76318.000,87373096.000,6196862.500,11603188.000,2033894.000,753664.000,5603328.000,2261854720.000,365,,Surface,1,,Image 1,1,
Intensity Sum,282838.000,154263520.000,11143067.000,22104510.000,3141640.000,1245184.000,8978432.000,4067219456.000,365,,Surface,2,,Image 1,1,
Intensity Sum,76318.000,87373096.000,6146907.500,11559697.000,2033894.000,753664.000,5406720.000,2243621120.000,365,,Surface,3,,Image 1,1,
Intensity Sum,282838.000,151283328.000,11061005.000,21977542.000,3113180.000,1245184.000,8978432.000,4037266688.000,365,,Surface,4,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,365.000,365,,Surface,,,,1,
Volume,511.054,158176.750,13273.662,22314.432,4763.634,2240.000,11840.000,4844886.500,365,µm^3,Surface,,,,1,
