
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,329.662,19091.754,2242.898,2204.294,1490.391,968.000,2648.000,1410782.875,629,µm^2,Surface,,,,1,
Intensity Mean,668.470,11489.758,2571.008,1380.217,2191.257,1660.000,3116.000,1617164.250,629,,Surface,1,,Image 1,1,
Intensity Mean,2450.769,13067.354,4757.934,1307.876,4585.188,3804.000,5460.000,2992740.250,629,,Surface,2,,Image 1,1,
Intensity Mean,668.470,11291.470,2550.395,1353.734,2178.261,1660.000,3100.000,1604198.250,629,,Surface,3,,Image 1,1,
Intensity Mean,2450.769,11495.841,4715.193,1264.259,4548.061,3772.000,5444.000,2965856.500,629,,Surface,4,,Image 1,1,
Intensity Sum,86210.000,44049920.000,3027831.000,4769417.500,1295228.000,540672.000,3325952.000,1904505728.000,629,,Surface,1,,Image 1,1,
Intensity Sum,257724.000,122294032.000,6259190.000,11983493.000,2599283.000,1212416.000,5341184.000,3937030400.000,629,,Surface,2,,Image 1,1,
Intensity Sum,86210.000,42949200.000,3001735.250,4729148.000,1295228.000,540672.000,3325952.000,1888091520.000,629,,Surface,3,,Image 1,1,
Intensity Sum,257724.000,117753856.000,6193267.500,11803770.000,2522648.000,1212416.000,5275648.000,3895565056.000,629,,Surface,4,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,629.000,629,,Surface,,,,1,
Volume,511.147,157804.359,9314.340,15144.660,4263.889,2112.000,9280.000,5858719.500,629,µm^3,Surface,,,,1,
