
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,808.222,20421.861,3319.502,2925.370,2358.646,1384.000,4072.000,1068879.500,322,µm^2,Surface,,,,1,
Intensity Mean,1168.367,12243.424,4400.627,2049.611,3960.094,2942.000,5436.000,1417001.875,322,,Surface,1,,Image 1,1,
Intensity Mean,4426.505,16735.723,7791.382,1874.980,7754.429,6436.000,8950.000,2508825.250,322,,Surface,2,,Image 1,1,
Intensity Mean,1168.367,12243.424,4384.143,2043.083,3960.094,2940.000,5366.000,1411693.875,322,,Surface,3,,Image 1,1,
Intensity Mean,4426.505,16735.723,7762.063,1870.435,7716.211,6436.000,8906.000,2499384.250,322,,Surface,4,,Image 1,1,
Intensity Sum,350510.000,138301328.000,9926809.000,16189030.000,4386616.000,1769472.000,10813440.000,3196432384.000,322,,Surface,1,,Image 1,1,
Intensity Sum,1329263.000,229628976.000,18696036.000,31276476.000,7686221.500,3506175.750,18055168.000,6020123136.000,322,,Surface,2,,Image 1,1,
Intensity Sum,350510.000,138301328.000,9906495.000,16187454.000,4222438.000,1769472.000,10813440.000,3189891328.000,322,,Surface,3,,Image 1,1,
Intensity Sum,1329263.000,229628976.000,18658596.000,31277900.000,7686221.500,3473408.000,18055168.000,6008068096.000,322,,Surface,4,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,322.000,322,,Surface,,,,1,
Volume,2017.591,187581.672,17540.650,26340.426,7931.721,3904.000,18464.000,5648089.500,322,µm^3,Surface,,,,1,
