
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,844.798,23270.270,2779.894,2785.154,1873.038,1304.000,3032.000,875666.688,315,µm^2,Surface,,,,1,
Intensity Mean,418.473,10784.897,2669.022,1494.833,2291.964,1604.000,3300.000,840741.812,315,,Surface,1,,Image 1,1,
Intensity Mean,973.064,6605.463,2424.635,1114.460,2090.166,1492.000,3088.000,763760.000,315,,Surface,2,,Image 1,1,
Intensity Mean,400.709,10784.897,2637.141,1454.584,2288.218,1600.000,3296.000,830699.438,315,,Surface,3,,Image 1,1,
Intensity Mean,901.535,6605.463,2392.025,1085.677,2064.822,1484.000,2980.000,753487.938,315,,Surface,4,,Image 1,1,
Intensity Sum,129308.000,83144632.000,4490445.000,8743239.000,1647652.000,950272.000,3407872.000,1414490240.000,315,,Surface,1,,Image 1,1,
Intensity Sum,310793.000,94349536.000,5036776.000,11340947.000,1474027.000,786432.000,3735552.000,1586584448.000,315,,Surface,2,,Image 1,1,
Intensity Sum,123819.000,83144632.000,4455416.500,8727556.000,1645571.000,950272.000,3375104.000,1403456256.000,315,,Surface,3,,Image 1,1,
Intensity Sum,299936.000,94349536.000,5003534.500,11334945.000,1458295.000,753664.000,3702784.000,1576113408.000,315,,Surface,4,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,315.000,315,,Surface,,,,1,
Volume,2056.134,203667.297,12929.490,23129.961,5485.566,3392.000,11136.000,4072789.500,315,µm^3,Surface,,,,1,
