
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,125.126,16085.700,1596.261,1968.183,971.082,444.000,1820.000,512399.781,321,µm^2,Surface,,,,1,
Intensity Mean,258.028,12574.975,1976.432,1944.920,1225.580,804.000,2236.000,634434.750,321,,Surface,1,,Image 1,1,
Intensity Mean,2876.768,13479.636,7422.500,1683.437,7251.635,6348.000,8492.000,2382622.500,321,,Surface,2,,Image 1,1,
Intensity Mean,696.552,18572.453,3630.666,2521.791,2937.772,1864.000,4584.000,1165443.875,321,,Surface,3,,Image 1,1,
Intensity Mean,6014.695,22038.557,11114.297,2582.245,10836.475,9368.000,12568.000,3567689.500,321,,Surface,4,,Image 1,1,
Intensity Mean,6014.695,22038.557,11077.515,2559.836,10836.475,9352.000,12472.000,3555882.250,321,,Surface,5,,Image 1,1,
Intensity Sum,13315.000,19644476.000,1714682.875,2971089.750,576097.000,155648.000,1826816.000,550413184.000,321,,Surface,1,,Image 1,1,
Intensity Sum,141253.000,151281824.000,7817994.000,15499302.000,2688367.000,983040.000,7012352.000,2509576192.000,321,,Surface,2,,Image 1,1,
Intensity Sum,20200.000,55075488.000,4032520.000,8109393.000,1103082.000,311296.000,3489792.000,1294438912.000,321,,Surface,3,,Image 1,1,
Intensity Sum,257292.000,264377120.000,12116415.000,25168120.000,3813869.000,1441792.000,11141120.000,3889369344.000,321,,Surface,4,,Image 1,1,
Intensity Sum,257292.000,264377120.000,12095859.000,25159468.000,3813869.000,1179648.000,10878976.000,3882770944.000,321,,Surface,5,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,321.000,321,,Surface,,,,1,
Volume,102.890,137440.906,6379.354,13164.572,2262.477,704.000,5440.000,2047772.625,321,µm^3,Surface,,,,1,
