
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,333.741,17131.674,2000.139,2170.955,1309.389,700.000,2452.000,620043.125,310,µm^2,Surface,,,,1,
Intensity Mean,86.177,4981.783,1130.957,575.875,1041.227,783.000,1353.000,350596.594,310,,Surface,1,,Image 1,1,
Intensity Mean,108.011,8747.056,2208.465,1544.208,1705.882,1220.000,2778.000,684624.250,310,,Surface,2,,Image 1,1,
Intensity Mean,1144.774,12399.169,4155.133,1333.269,3780.484,3286.000,4876.000,1288091.125,310,,Surface,3,,Image 1,1,
Intensity Mean,58.944,8747.056,2183.940,1519.314,1704.720,1214.000,2770.000,677021.375,310,,Surface,4,,Image 1,1,
Intensity Mean,741.007,12399.169,4097.981,1266.371,3780.484,3286.000,4740.000,1270374.000,310,,Surface,5,,Image 1,1,
Intensity Sum,24819.000,24548696.000,1292218.125,2417413.750,473452.000,188416.000,1351680.000,400587616.000,310,,Surface,1,,Image 1,1,
Intensity Sum,10153.000,77076568.000,2704695.000,6022091.500,801744.500,360448.000,2752511.250,838455424.000,310,,Surface,2,,Image 1,1,
Intensity Sum,244967.000,168364816.000,6188469.000,15723905.000,1644494.500,720896.000,5668863.000,1918425344.000,310,,Surface,3,,Image 1,1,
Intensity Sum,10153.000,77076568.000,2663807.250,5988951.500,801744.500,360448.000,2621439.250,825780224.000,310,,Surface,4,,Image 1,1,
Intensity Sum,213410.000,168364816.000,6015943.000,14685289.000,1631078.500,720896.000,5308416.000,1864942336.000,310,,Surface,5,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,310.000,310,,Surface,,,,1,
Volume,506.807,180907.391,6868.075,14965.915,2340.825,1088.000,7199.999,2129103.250,310,µm^3,Surface,,,,1,
