
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,106.908,4022.404,992.543,800.168,733.324,426.000,1285.000,173695.016,175,µm^2,Surface,,,,1,
Intensity Mean,233.622,13191.088,1777.941,1638.995,1269.916,796.000,2052.000,311139.688,175,,Surface,1,,Image 1,1,
Intensity Mean,3540.741,22427.482,10975.513,3133.339,10618.864,8992.000,12040.000,1920714.750,175,,Surface,2,,Image 1,1,
Intensity Mean,467.889,9989.833,2198.490,1286.950,1733.546,1480.000,2404.000,384735.750,175,,Surface,3,,Image 1,1,
Intensity Mean,958.519,13206.711,3641.382,2636.150,2502.718,1652.000,5144.000,637241.750,175,,Surface,4,,Image 1,1,
Intensity Mean,958.519,11567.595,3603.876,2567.987,2502.718,1652.000,5044.000,630678.375,175,,Surface,5,,Image 1,1,
Intensity Sum,8644.000,6488287.000,754606.062,1006383.688,368793.000,135168.000,901120.000,132056064.000,175,,Surface,1,,Image 1,1,
Intensity Sum,95600.000,37459908.000,4992014.000,6112474.000,3291045.000,1179648.000,6012928.000,873602496.000,175,,Surface,2,,Image 1,1,
Intensity Sum,12633.000,13308700.000,1108157.875,1845564.250,532940.000,217088.000,1040384.000,193927632.000,175,,Surface,3,,Image 1,1,
Intensity Sum,30693.000,18314670.000,2142138.000,3703373.750,691123.000,262144.000,1835008.000,374874144.000,175,,Surface,4,,Image 1,1,
Intensity Sum,30693.000,18314670.000,2136512.500,3704314.000,691123.000,253952.000,1818624.000,373889696.000,175,,Surface,5,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,175.000,175,,Surface,,,,1,
Volume,74.212,20169.145,2834.920,3759.401,1417.464,504.000,3376.000,496111.062,175,µm^3,Surface,,,,1,
