
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,81.123,5653.890,1012.575,829.458,845.683,474.000,1270.000,187326.453,185,µm^2,Surface,,,,1,
Intensity Mean,270.156,10794.388,2180.861,2052.615,1353.748,756.000,2916.000,403459.250,185,,Surface,1,,Image 1,1,
Intensity Mean,2864.262,21808.674,7574.880,2813.993,7022.514,5880.000,8296.000,1401352.750,185,,Surface,2,,Image 1,1,
Intensity Mean,1026.074,10640.305,3230.044,1876.893,2658.656,1860.000,4092.000,597558.125,185,,Surface,3,,Image 1,1,
Intensity Mean,1484.846,14800.293,6075.676,3674.285,4950.413,2676.000,9068.000,1124000.125,185,,Surface,4,,Image 1,1,
Intensity Mean,1484.846,14800.293,6003.762,3618.228,4896.400,2652.000,9068.000,1110696.000,185,,Surface,5,,Image 1,1,
Intensity Sum,13085.000,21642538.000,1028946.688,1984173.750,488396.000,155648.000,1269760.000,190355136.000,185,,Surface,1,,Image 1,1,
Intensity Sum,124134.000,40871608.000,3523468.000,5369963.500,2222912.000,1163264.000,3719168.000,651841600.000,185,,Surface,2,,Image 1,1,
Intensity Sum,27704.000,47125912.000,1780120.000,4452193.000,880297.000,409600.000,1622016.000,329322208.000,185,,Surface,3,,Image 1,1,
Intensity Sum,52948.000,56089380.000,3525841.750,7791697.000,1378773.000,671744.000,2998272.000,652280704.000,185,,Surface,4,,Image 1,1,
Intensity Sum,52948.000,56089380.000,3508780.000,7785262.500,1331110.000,671744.000,2998272.000,649124288.000,185,,Surface,5,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,185.000,185,,Surface,,,,1,
Volume,32.648,36440.629,2865.079,4467.467,1818.745,784.000,3152.000,530039.500,185,µm^3,Surface,,,,1,
