
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,110.596,11167.137,1092.598,1216.355,669.064,332.000,1348.000,721114.625,660,µm^2,Surface,,,,1,
Intensity Mean,137.515,20951.594,1612.683,2059.220,886.123,568.000,1608.000,1064370.500,660,,Surface,1,,Image 1,1,
Intensity Mean,2235.104,21217.834,7676.964,2381.130,7352.325,6244.000,8652.000,5066796.000,660,,Surface,2,,Image 1,1,
Intensity Mean,262.242,22085.000,3677.877,2335.999,2932.764,2248.000,4428.000,2427399.000,660,,Surface,3,,Image 1,1,
Intensity Mean,2068.225,23033.588,5779.663,3968.070,4195.952,3432.000,6108.000,3814577.750,660,,Surface,4,,Image 1,1,
Intensity Mean,2068.225,22847.775,5691.734,3914.402,4141.872,3416.000,5992.000,3756544.250,660,,Surface,5,,Image 1,1,
Intensity Sum,4538.000,23742782.000,914084.312,2114948.250,209988.000,57344.000,831487.812,603295616.000,660,,Surface,1,,Image 1,1,
Intensity Sum,89365.000,75720360.000,4263722.500,7482035.000,1485651.000,557056.000,4358144.000,2814056704.000,660,,Surface,2,,Image 1,1,
Intensity Sum,8654.000,68867568.000,2707670.750,6414492.500,631573.500,229376.000,1933312.000,1787062656.000,660,,Surface,3,,Image 1,1,
Intensity Sum,63347.000,118172256.000,4687151.000,11562331.000,955528.000,294912.000,2998271.250,3093519616.000,660,,Surface,4,,Image 1,1,
Intensity Sum,63347.000,118172256.000,4655231.500,11545457.000,938103.000,294912.000,2916352.000,3072452864.000,660,,Surface,5,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,660.000,660,,Surface,,,,1,
Volume,53.493,66064.578,3314.596,6003.769,1173.245,416.000,3375.999,2187633.250,660,µm^3,Surface,,,,1,
