
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,128.193,4943.552,842.753,718.004,591.548,322.000,1159.000,475312.688,564,µm^2,Surface,,,,1,
Intensity Mean,206.512,16885.236,1848.784,1969.855,1184.123,792.000,2028.000,1042713.938,564,,Surface,1,,Image 1,1,
Intensity Mean,1756.731,25313.787,10015.947,3395.510,9631.035,7972.000,11324.000,5648994.000,564,,Surface,2,,Image 1,1,
Intensity Mean,137.986,13126.392,1578.474,894.905,1428.428,1172.000,1748.000,890259.562,564,,Surface,3,,Image 1,1,
Intensity Mean,668.406,14059.488,1812.578,1968.175,1038.943,876.000,1660.000,1022294.125,564,,Surface,4,,Image 1,1,
Intensity Mean,668.406,14059.488,1795.395,1957.632,1029.443,876.000,1646.000,1012602.750,564,,Surface,5,,Image 1,1,
Intensity Sum,7903.000,10416869.000,628159.562,1033206.000,235864.500,86016.000,741376.000,354281984.000,564,,Surface,1,,Image 1,1,
Intensity Sum,45675.000,50215116.000,3458760.750,4788428.500,1721382.000,696320.000,4349951.500,1950741120.000,564,,Surface,2,,Image 1,1,
Intensity Sum,5637.000,13304257.000,593532.875,1044046.875,249216.000,94208.000,675840.000,334752544.000,564,,Surface,3,,Image 1,1,
Intensity Sum,21801.000,51552808.000,973981.500,3240749.000,208304.500,81920.000,671744.000,549325568.000,564,,Surface,4,,Image 1,1,
Intensity Sum,21801.000,51552808.000,968274.125,3235922.750,206190.500,81920.000,671744.000,546106624.000,564,,Surface,5,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,564.000,564,,Surface,,,,1,
Volume,76.041,30106.709,2024.318,2776.693,931.769,372.000,2584.000,1141715.500,564,µm^3,Surface,,,,1,
