
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,3.947,10613.721,896.959,730.640,808.944,420.000,1164.000,1156179.875,1289,µm^2,Surface,,,,1,
Intensity Mean,2018.000,22609.000,6189.071,1692.649,5829.122,5128.000,6824.000,7977713.000,1289,,Surface,1,,Image 1,1,
Intensity Mean,86.333,18120.588,767.850,1738.403,257.386,216.000,408.000,989758.562,1289,,Surface,2,,Image 1,1,
Intensity Mean,2018.000,22609.000,6179.433,1654.633,5828.336,5128.000,6824.000,7965289.000,1289,,Surface,3,,Image 1,1,
Intensity Mean,76.500,18120.588,766.162,1734.729,257.386,216.000,408.000,987582.875,1289,,Surface,4,,Image 1,1,
Intensity Sum,2018.000,45798692.000,1747944.875,2321006.500,1371660.000,573440.000,2179072.000,2253101056.000,1289,,Surface,1,,Image 1,1,
Intensity Sum,95.000,34001048.000,397246.281,1727191.875,62030.000,16384.000,147456.000,512050464.000,1289,,Surface,2,,Image 1,1,
Intensity Sum,2018.000,45798692.000,1746110.375,2319585.750,1371660.000,573440.000,2179072.000,2250736128.000,1289,,Surface,3,,Image 1,1,
Intensity Sum,95.000,34001048.000,396487.062,1725915.750,62030.000,16384.000,147456.000,511071840.000,1289,,Surface,4,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1289.000,1289,,Surface,,,,1,
Volume,0.218,41861.965,2245.102,2638.655,1748.430,656.000,2928.000,2893936.250,1289,µm^3,Surface,,,,1,
