
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,0.878,8089.113,928.345,828.929,769.837,406.000,1186.000,1550336.000,1670,µm^2,Surface,,,,1,
Intensity Mean,1465.000,50242.500,7229.836,2307.208,6715.661,5840.000,7952.000,12073826.000,1670,,Surface,1,,Image 1,1,
Intensity Mean,97.000,15837.111,1186.912,1709.186,416.887,276.000,1360.000,1982142.500,1670,,Surface,2,,Image 1,1,
Intensity Mean,1465.000,50242.500,7227.028,2304.252,6709.062,5840.000,7944.001,12069136.000,1670,,Surface,3,,Image 1,1,
Intensity Mean,97.000,15405.114,1185.934,1705.639,416.887,276.000,1360.000,1980509.125,1670,,Surface,4,,Image 1,1,
Intensity Sum,4827.000,44125072.000,2193797.250,3322038.750,1402033.000,638976.000,2441216.000,3663641344.000,1670,,Surface,1,,Image 1,1,
Intensity Sum,97.000,23038224.000,596929.375,1758876.625,95741.500,40960.000,270336.000,996872128.000,1670,,Surface,2,,Image 1,1,
Intensity Sum,4827.000,44125072.000,2192590.000,3320321.750,1402033.000,638976.000,2441216.000,3661625344.000,1670,,Surface,3,,Image 1,1,
Intensity Sum,97.000,23038224.000,596541.250,1758118.000,95741.500,40960.000,270336.000,996223872.000,1670,,Surface,4,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1670.000,1670,,Surface,,,,1,
Volume,0.009,30227.238,2354.834,2976.434,1617.350,600.000,2964.000,3932573.250,1670,µm^3,Surface,,,,1,
