
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,5.081,5725.815,896.035,728.121,757.521,410.000,1138.000,1197102.125,1336,µm^2,Surface,,,,1,
Intensity Mean,1226.571,16205.333,6328.273,1618.122,5973.673,5252.000,7068.000,8454573.000,1336,,Surface,1,,Image 1,1,
Intensity Mean,95.750,17233.680,934.454,1825.397,274.384,200.000,600.000,1248430.750,1336,,Surface,2,,Image 1,1,
Intensity Mean,1226.571,16205.333,6323.207,1614.050,5966.372,5252.000,7054.000,8447804.000,1336,,Surface,3,,Image 1,1,
Intensity Mean,95.750,17233.680,933.693,1824.792,274.050,200.000,600.000,1247413.125,1336,,Surface,4,,Image 1,1,
Intensity Sum,4781.000,24946124.000,1824075.750,2292871.000,1259232.000,565248.000,2154496.000,2436965120.000,1336,,Surface,1,,Image 1,1,
Intensity Sum,101.000,23552796.000,517270.094,1750083.750,56890.000,24576.000,172032.000,691072832.000,1336,,Surface,2,,Image 1,1,
Intensity Sum,4781.000,24946124.000,1821717.750,2286875.250,1259232.000,565248.000,2154496.000,2433814784.000,1336,,Surface,3,,Image 1,1,
Intensity Sum,101.000,23552796.000,516678.500,1748724.625,56890.000,24576.000,172032.000,690282496.000,1336,,Surface,4,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1336.000,1336,,Surface,,,,1,
Volume,0.545,23283.217,2265.198,2641.305,1590.925,616.000,2824.000,3026304.250,1336,µm^3,Surface,,,,1,
