
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,1.232,5626.515,786.067,595.038,693.876,374.000,1063.000,1619297.375,2060,µm^2,Surface,,,,1,
Intensity Mean,3502.000,25699.334,8886.250,1996.929,8508.515,7620.000,9768.000,18305676.000,2060,,Surface,1,,Image 1,1,
Intensity Mean,88.000,11902.177,768.743,1362.405,288.535,228.000,476.000,1583610.250,2060,,Surface,2,,Image 1,1,
Intensity Mean,3502.000,25699.334,8885.574,1996.825,8508.515,7620.000,9768.000,18304284.000,2060,,Surface,3,,Image 1,1,
Intensity Mean,88.000,11902.177,768.722,1362.387,288.535,228.000,476.000,1583567.000,2060,,Surface,4,,Image 1,1,
Intensity Sum,3523.000,43194408.000,2120875.000,2379896.000,1558014.500,704512.000,2801664.000,4369002496.000,2060,,Surface,1,,Image 1,1,
Intensity Sum,88.000,15925297.000,291685.062,999371.750,59666.500,20480.000,126976.000,600871232.000,2060,,Surface,2,,Image 1,1,
Intensity Sum,3523.000,43194408.000,2120683.000,2379825.000,1558014.500,704512.000,2801664.000,4368606720.000,2060,,Surface,3,,Image 1,1,
Intensity Sum,88.000,15925297.000,291679.375,999371.062,59666.500,20480.000,126976.000,600859520.000,2060,,Surface,4,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,2060.000,2060,,Surface,,,,1,
Volume,0.030,25538.211,1867.172,1991.148,1373.926,520.000,2571.999,3846373.500,2060,µm^3,Surface,,,,1,
