
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,20.345,10350.054,2044.976,1507.472,1827.353,772.000,3060.000,4028603.500,1970,µm^2,Surface,,,,1,
Intensity Mean,191.800,11905.317,1671.412,1285.744,1319.530,1004.000,1812.000,3292682.250,1970,,Surface,1,,Image 1,1,
Intensity Mean,1777.467,9606.301,3685.631,587.430,3620.254,3394.000,3870.000,7260693.500,1970,,Surface,2,,Image 1,1,
Intensity Mean,96.333,20029.857,1875.010,2026.029,1229.249,872.000,2024.000,3693770.000,1970,,Surface,3,,Image 1,1,
Intensity Mean,1777.467,9606.301,3680.249,582.705,3619.312,3390.000,3866.000,7250091.500,1970,,Surface,4,,Image 1,1,
Intensity Mean,96.333,20029.857,1871.343,2021.587,1229.249,872.000,2020.001,3686544.750,1970,,Surface,5,,Image 1,1,
Intensity Sum,2877.000,26636234.000,2064843.250,2658394.500,1328915.500,335872.000,2740224.500,4067741184.000,1970,,Surface,1,,Image 1,1,
Intensity Sum,20189.000,110165056.000,4613588.000,5431317.500,3149553.000,950272.000,6717440.000,9088769024.000,1970,,Surface,2,,Image 1,1,
Intensity Sum,1445.000,206437952.000,2650231.250,6894822.500,1110748.000,327680.000,2686976.000,5220955648.000,1970,,Surface,3,,Image 1,1,
Intensity Sum,20189.000,110165056.000,4604210.000,5420340.000,3149553.000,950272.000,6717440.000,9070294016.000,1970,,Surface,4,,Image 1,1,
Intensity Sum,1445.000,206437952.000,2643138.250,6887460.000,1109979.500,327680.000,2686976.000,5206982144.000,1970,,Surface,5,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1970.000,1970,,Surface,,,,1,
Volume,4.885,67982.297,7196.912,7123.500,5160.526,1504.000,11152.002,14177917.000,1970,µm^3,Surface,,,,1,
