
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,7.632,8364.044,1655.331,1328.598,1420.722,508.000,2468.000,2731296.000,1650,µm^2,Surface,,,,1,
Intensity Mean,166.250,11597.393,1757.590,1094.785,1464.629,1116.000,1980.000,2900023.500,1650,,Surface,1,,Image 1,1,
Intensity Mean,1562.526,9501.600,3043.142,603.214,2955.065,2706.000,3270.000,5021184.500,1650,,Surface,2,,Image 1,1,
Intensity Mean,154.800,17522.770,1224.965,1221.244,873.043,696.000,1224.000,2021191.750,1650,,Surface,3,,Image 1,1,
Intensity Mean,1562.526,9501.600,3039.198,598.197,2952.834,2706.000,3266.000,5014676.500,1650,,Surface,4,,Image 1,1,
Intensity Mean,154.800,17522.770,1222.920,1218.158,872.812,696.000,1224.000,2017818.250,1650,,Surface,5,,Image 1,1,
Intensity Sum,1111.000,30304782.000,1711650.625,2230067.000,1083081.500,221184.000,2351104.000,2824223488.000,1650,,Surface,1,,Image 1,1,
Intensity Sum,8432.000,40900680.000,2905142.250,3631157.750,1878167.500,475136.000,4071424.000,4793484800.000,1650,,Surface,2,,Image 1,1,
Intensity Sum,774.000,72154152.000,1459899.875,4005632.500,586549.500,163840.000,1343488.000,2408834816.000,1650,,Surface,3,,Image 1,1,
Intensity Sum,8432.000,39405940.000,2892881.750,3567056.250,1878167.500,475136.000,4071424.000,4773254656.000,1650,,Surface,4,,Image 1,1,
Intensity Sum,774.000,72154152.000,1453447.750,3981849.500,586549.500,163840.000,1343488.000,2398188800.000,1650,,Surface,5,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1650.000,1650,,Surface,,,,1,
Volume,0.263,48822.051,5719.847,6274.211,3794.328,848.000,8464.000,9437748.000,1650,µm^3,Surface,,,,1,
