
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,7.404,40105.816,564.940,1281.364,144.379,48.000,720.000,1551890.000,2747,µm^2,Surface,,,,1,
Intensity Mean,56.400,30974.334,2776.072,3031.426,1815.040,872.000,3656.000,7625870.500,2747,,Surface,1,,Image 1,1,
Intensity Mean,3009.833,24192.625,10132.278,2404.296,9888.158,8568.000,11480.000,27833368.000,2747,,Surface,2,,Image 1,1,
Intensity Mean,996.200,10484.839,3265.001,705.174,3100.054,2836.000,3544.000,8968957.000,2747,,Surface,3,,Image 1,1,
Intensity Mean,61.600,9499.144,315.204,497.705,226.833,188.000,284.000,865865.688,2747,,Surface,4,,Image 1,1,
Intensity Mean,61.600,9499.144,314.798,496.077,226.778,188.000,284.000,864751.000,2747,,Surface,5,,Image 1,1,
Intensity Mean,996.200,10467.871,3263.856,704.916,3097.195,2836.000,3540.000,8965812.000,2747,,Surface,6,,Image 1,1,
Intensity Sum,282.000,47062036.000,697133.938,1860689.000,57364.000,16384.000,802816.000,1915026944.000,2747,,Surface,1,,Image 1,1,
Intensity Sum,22354.000,212403168.000,2124914.750,6579320.500,346475.000,65536.000,2031616.000,5837140992.000,2747,,Surface,2,,Image 1,1,
Intensity Sum,4981.000,45375904.000,630875.562,1749326.750,105377.000,49152.000,671744.000,1733015296.000,2747,,Surface,3,,Image 1,1,
Intensity Sum,308.000,13014287.000,126029.844,807531.625,8677.000,4096.000,53248.000,346203968.000,2747,,Surface,4,,Image 1,1,
Intensity Sum,308.000,13005386.000,125551.500,805128.000,8677.000,4096.000,53248.000,344889952.000,2747,,Surface,5,,Image 1,1,
Intensity Sum,4981.000,45285816.000,629345.125,1740845.375,105377.000,49152.000,671744.000,1728811008.000,2747,,Surface,6,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,2747.000,2747,,Surface,,,,1,
Volume,0.402,103972.359,1122.851,3258.431,119.386,32.000,1184.000,3084471.500,2747,µm^3,Surface,,,,1,
