
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,8.307,10668.850,829.551,944.824,555.463,124.000,1252.000,1543793.750,1861,µm^2,Surface,,,,1,
Intensity Mean,50.167,24603.508,2324.351,2307.877,1841.787,600.000,3112.000,4325618.000,1861,,Surface,1,,Image 1,1,
Intensity Mean,1430.111,19135.750,5604.630,1460.408,5346.715,4760.000,6104.000,10430217.000,1861,,Surface,2,,Image 1,1,
Intensity Mean,3068.600,32399.553,9093.435,2973.502,8382.892,7608.000,9512.000,16922882.000,1861,,Surface,3,,Image 1,1,
Intensity Mean,94.833,18983.422,752.485,1487.963,361.668,280.000,536.000,1400375.250,1861,,Surface,4,,Image 1,1,
Intensity Mean,94.833,18983.422,750.726,1483.596,361.455,280.000,536.000,1397101.875,1861,,Surface,5,,Image 1,1,
Intensity Mean,3068.600,32399.553,9084.616,2970.188,8371.833,7608.000,9480.000,16906472.000,1861,,Surface,6,,Image 1,1,
Intensity Sum,301.000,19724572.000,899319.812,1404303.875,385311.000,24576.000,1318912.000,1673634176.000,1861,,Surface,1,,Image 1,1,
Intensity Sum,12424.000,61737872.000,1889166.000,3238998.750,890876.000,147456.000,2605056.000,3515737856.000,1861,,Surface,2,,Image 1,1,
Intensity Sum,15343.000,68909760.000,3055175.250,5468870.500,1399368.000,229376.000,4096000.000,5685681152.000,1861,,Surface,3,,Image 1,1,
Intensity Sum,569.000,43623904.000,516128.594,2777135.750,68691.000,16384.000,180224.000,960515328.000,1861,,Surface,4,,Image 1,1,
Intensity Sum,569.000,43623904.000,511490.094,2755119.250,68691.000,16384.000,180224.000,951883072.000,1861,,Surface,5,,Image 1,1,
Intensity Sum,15343.000,63054528.000,3040045.750,5362507.000,1398151.000,212992.000,4112384.000,5657525248.000,1861,,Surface,6,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1861.000,1861,,Surface,,,,1,
Volume,1.069,35349.406,1921.406,2820.686,956.800,112.000,2896.000,3575736.250,1861,µm^3,Surface,,,,1,
