Image,LD Count,Avg Vol,Avg SA,BODIPY IID
mouse18_M_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,4868,1.6173,1.1243,29276841897
mouse18_M_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,5766,1.6335,1.1681,34749548440
mouse19_M_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,18754,3.2354,3.2545,69173324219
mouse19_M_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,19481,3.0157,2.9436,74806449135
mouse20_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,16889,3.7085,3.9208,73534275506
mouse20_F_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,14588,3.118,3.3803,47429303735
mouse21_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,3675,1.8562,1.5592,29847916794
mouse21_F_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,7479,2.0738,1.8023,56368219870
mouse22_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,8088,2.4486,2.1016,84926694394
mouse22_F_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,21824,2.3086,1.7954,1.07467E+11
mouse23_M_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,16590,3.1492,3.2186,73068634830
mouse23_M_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,8558,2.0004,1.6874,41258154450
mouse24_M_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,56,0.4067,0.1873,19461918149
mouse24_M_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,1147,0.951,0.5101,25581755825
mouse25_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,20326,3.0574,3.0436,59299939485
mouse25_F_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,18607,3.1423,3.1273,68739118914
mouse26_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,15019,2.6846,2.6932,34058619983
mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,5,0.2803,0,8837197466
mouse27_F_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,15305,3.1107,3.0766,53283698455
mouse28_M_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,7129,1.9239,1.5685,34979011391
mouse28_M_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,15754,2.372,2.1593,49385149274
mouse29_M_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,5,0.7007,0,6184111140
mouse29_M_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,5565,1.604,1.0837,34424530640
mouse30_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,10790,2.0744,1.7995,70069026193
mouse30_F_sliceC2_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,4363,1.1978,0.7059,28407713238
mouse31_M_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,6592,1.5157,1.0785,35041300788
mouse32_M_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,1243,0.8801,0.4194,27105027441
mouse27_F_sliceC1_SBC_20xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2.czi,0,0,0,0
