
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,19.250,9632.063,1788.931,1686.115,1300.186,628.000,2316.000,502689.500,281,µm^2,Surface,,,,1,
Intensity Mean,470.453,3754.925,1331.918,498.081,1280.237,949.000,1537.000,374268.906,281,,Surface,1,,Image 1,1,
Intensity Mean,888.350,3950.015,2101.305,446.189,2118.876,1791.000,2429.000,590466.875,281,,Surface,2,,Image 1,1,
Intensity Mean,360.841,6588.499,1807.684,1126.834,1545.019,970.000,2286.000,507959.219,281,,Surface,3,,Image 1,1,
Intensity Mean,2678.333,16903.619,5021.117,1906.241,4434.303,4028.000,5260.000,1410933.750,281,,Surface,4,,Image 1,1,
Intensity Mean,888.350,3950.015,2098.932,447.279,2110.066,1791.000,2429.000,589799.875,281,,Surface,5,,Image 1,1,
Intensity Mean,360.841,6588.499,1804.313,1126.569,1539.049,970.000,2286.000,507012.000,281,,Surface,6,,Image 1,1,
Intensity Mean,2678.333,16903.619,5000.756,1843.185,4432.668,4028.000,5260.000,1405212.500,281,,Surface,7,,Image 1,1,
Intensity Sum,29235.000,279241280.000,38381752.000,46001124.000,21265692.000,7208960.000,55181312.000,10785271808.000,281,,Surface,1,,Image 1,1,
Intensity Sum,77599.000,485213344.000,59833864.000,72564776.000,33773596.000,13238272.000,81133568.000,16813316096.000,281,,Surface,2,,Image 1,1,
Intensity Sum,18115.000,601923392.000,56052012.000,75248520.000,29358016.000,7077888.000,80478208.000,15750615040.000,281,,Surface,3,,Image 1,1,
Intensity Sum,160700.000,984589120.000,135701472.000,168141264.000,79551320.000,28049408.000,175374336.000,38132113408.000,281,,Surface,4,,Image 1,1,
Intensity Sum,77599.000,485142368.000,59798000.000,72561112.000,33773596.000,13238272.000,81133568.000,16803237888.000,281,,Surface,5,,Image 1,1,
Intensity Sum,18115.000,601922304.000,56003124.000,75243936.000,29358016.000,7077888.000,80478208.000,15736878080.000,281,,Surface,6,,Image 1,1,
Intensity Sum,160700.000,984265600.000,135507536.000,168118080.000,79442752.000,28049408.000,175374336.000,38077616128.000,281,,Surface,7,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,281.000,281,,Surface,,,,1,
Volume,6.242,39326.781,4965.898,6059.689,2856.906,1040.000,6320.000,1395417.500,281,µm^3,Surface,,,,1,
