
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,18.536,9370.697,1540.746,1566.642,967.537,396.000,2060.000,386727.312,251,µm^2,Surface,,,,1,
Intensity Mean,1059.712,7532.209,2230.257,749.844,2189.108,1768.000,2528.000,559794.562,251,,Surface,1,,Image 1,1,
Intensity Mean,1093.685,6719.236,3074.936,674.407,3149.412,2632.000,3456.000,771808.812,251,,Surface,2,,Image 1,1,
Intensity Mean,494.985,6850.474,2243.536,1250.762,1994.867,1240.000,2922.000,563127.500,251,,Surface,3,,Image 1,1,
Intensity Mean,3194.099,30300.838,6149.264,2382.082,5545.704,4936.000,6504.000,1543465.250,251,,Surface,4,,Image 1,1,
Intensity Mean,1093.685,6719.236,3072.596,674.467,3149.232,2632.000,3456.000,771221.500,251,,Surface,5,,Image 1,1,
Intensity Mean,494.985,6850.474,2241.477,1251.172,1966.657,1240.000,2922.000,562610.750,251,,Surface,6,,Image 1,1,
Intensity Mean,3194.099,30300.838,6139.292,2371.076,5538.861,4936.000,6504.000,1540962.500,251,,Surface,7,,Image 1,1,
Intensity Sum,45415.000,437711488.000,54638852.000,71004712.000,27597824.000,5373952.000,72876032.000,13714352128.000,251,,Surface,1,,Image 1,1,
Intensity Sum,62228.000,552777024.000,73575224.000,92450760.000,37766384.000,8126464.000,98828288.000,18467381248.000,251,,Surface,2,,Image 1,1,
Intensity Sum,29579.000,522870240.000,65243848.000,93379320.000,24908936.000,3932160.000,85458944.000,16376205312.000,251,,Surface,3,,Image 1,1,
Intensity Sum,368534.000,904836864.000,131801328.000,160127968.000,71619088.000,17301504.000,189792256.000,33082134528.000,251,,Surface,4,,Image 1,1,
Intensity Sum,62228.000,552777024.000,73494312.000,92370664.000,37766384.000,8126464.000,98828288.000,18447073280.000,251,,Surface,5,,Image 1,1,
Intensity Sum,29579.000,522870240.000,65176540.000,93353816.000,24908936.000,3932160.000,85458944.000,16359311360.000,251,,Surface,6,,Image 1,1,
Intensity Sum,368534.000,904836864.000,131488000.000,159734784.000,71619088.000,17301504.000,189792256.000,33003487232.000,251,,Surface,7,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,251.000,251,,Surface,,,,1,
Volume,5.535,33373.742,4147.758,5218.392,2093.548,448.000,5568.000,1041087.312,251,µm^3,Surface,,,,1,
