
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,30.947,6165.849,1383.545,1132.842,1138.667,497.000,1784.000,276708.906,200,µm^2,Surface,,,,1,
Intensity Mean,184.927,12479.339,1093.142,1036.376,932.869,660.000,1280.000,218628.500,200,,Surface,1,,Image 1,1,
Intensity Mean,1591.157,5329.057,3267.250,635.394,3278.615,2846.500,3620.500,653450.062,200,,Surface,2,,Image 1,1,
Intensity Mean,525.575,10031.758,2910.574,1956.413,2387.464,1374.000,4042.000,582114.750,200,,Surface,3,,Image 1,1,
Intensity Mean,4297.734,15174.902,6886.256,1528.122,6608.979,5810.000,7806.000,1377251.125,200,,Surface,4,,Image 1,1,
Intensity Mean,1542.716,5329.057,3242.991,649.935,3255.922,2807.000,3589.500,648598.250,200,,Surface,5,,Image 1,1,
Intensity Mean,415.534,10031.758,2893.791,1959.387,2356.877,1374.000,4034.000,578758.188,200,,Surface,6,,Image 1,1,
Intensity Mean,4155.850,15174.902,6816.305,1555.897,6485.338,5732.000,7658.000,1363260.875,200,,Surface,7,,Image 1,1,
Intensity Sum,107974.000,251983808.000,26566094.000,32496024.000,15119444.000,4390912.000,34406396.000,5313218560.000,200,,Surface,1,,Image 1,1,
Intensity Sum,384522.000,546577792.000,81075040.000,89619720.000,55271240.000,16515072.000,103809024.000,16215007232.000,200,,Surface,2,,Image 1,1,
Intensity Sum,138452.000,1163947136.000,90401192.000,134671888.000,41373344.000,8912896.000,107479040.000,18080239616.000,200,,Surface,3,,Image 1,1,
Intensity Sum,1122979.000,1142724736.000,179635456.000,209774624.000,115278560.000,30670848.000,238551040.000,35927089152.000,200,,Surface,4,,Image 1,1,
Intensity Sum,384522.000,546547584.000,80793544.000,89683120.000,54136908.000,16515072.000,103809024.000,16158707712.000,200,,Surface,5,,Image 1,1,
Intensity Sum,138452.000,1163866496.000,90159072.000,134710896.000,40137552.000,8912896.000,107479040.000,18031814656.000,200,,Surface,6,,Image 1,1,
Intensity Sum,1122979.000,1142570752.000,178778160.000,209949760.000,113487152.000,29884416.000,238551040.000,35755630592.000,200,,Surface,7,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,200.000,200,,Surface,,,,1,
Volume,15.137,26193.809,4143.285,4358.478,2965.000,960.000,5435.999,828657.062,200,µm^3,Surface,,,,1,
