
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,47.828,9444.262,2214.110,1604.755,1885.411,1220.000,2720.000,493746.469,223,µm^2,Surface,,,,1,
Intensity Mean,236.605,2231.978,712.529,316.318,678.400,482.500,877.000,158894.016,223,,Surface,1,,Image 1,1,
Intensity Mean,1480.234,4171.974,2621.965,391.261,2609.725,2376.000,2838.000,584698.188,223,,Surface,2,,Image 1,1,
Intensity Mean,498.506,8335.355,2388.406,1272.026,2152.759,1462.000,3180.000,532614.438,223,,Surface,3,,Image 1,1,
Intensity Mean,1451.269,5312.247,2868.670,943.067,2771.968,2010.000,3597.000,639713.375,223,,Surface,4,,Image 1,1,
Intensity Mean,1277.923,4171.974,2603.940,412.460,2602.593,2370.000,2825.000,580678.562,223,,Surface,5,,Image 1,1,
Intensity Mean,482.654,8335.355,2370.804,1274.513,2117.757,1458.000,3166.000,528689.188,223,,Surface,6,,Image 1,1,
Intensity Mean,1224.027,5239.339,2841.765,956.542,2771.968,1972.000,3596.000,633713.562,223,,Surface,7,,Image 1,1,
Intensity Sum,65978.000,251105760.000,35186648.000,39531156.000,22128612.000,11337728.000,44236800.000,7846622720.000,223,,Surface,1,,Image 1,1,
Intensity Sum,535070.000,735798272.000,125292368.000,128763120.000,87300472.000,45350912.000,156762112.000,27940198400.000,223,,Surface,2,,Image 1,1,
Intensity Sum,587788.000,1071885440.000,142730384.000,193970176.000,71346200.000,26738688.000,168296448.000,31828873216.000,223,,Surface,3,,Image 1,1,
Intensity Sum,714968.000,1322595200.000,167489632.000,214078720.000,93050944.000,37748736.000,211288064.000,37350191104.000,223,,Surface,4,,Image 1,1,
Intensity Sum,535070.000,735798272.000,124746312.000,128838480.000,87300472.000,45350912.000,156762112.000,27818428416.000,223,,Surface,5,,Image 1,1,
Intensity Sum,587788.000,1071885440.000,142214560.000,194049280.000,71346200.000,25690112.000,168296448.000,31713847296.000,223,,Surface,6,,Image 1,1,
Intensity Sum,714968.000,1322595200.000,166664464.000,214135696.000,92449640.000,37748736.000,211288064.000,37166174208.000,223,,Surface,7,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,223.000,223,,Surface,,,,1,
Volume,29.520,53360.801,8313.727,8417.893,6018.182,3296.000,10592.000,1853961.125,223,µm^3,Surface,,,,1,
