
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,2.909,8053.375,898.668,1001.024,591.425,316.000,1028.000,477192.594,531,µm^2,Surface,,,,1,
Intensity Mean,1010.633,35087.230,5656.047,3228.427,4954.458,3760.000,6768.000,3003361.250,531,,Surface,1,,Image 1,1,
Intensity Mean,1417.427,15635.688,3382.877,1107.461,3318.925,2756.000,3844.000,1796307.625,531,,Surface,2,,Image 1,1,
Intensity Mean,3199.696,7519.600,4304.004,582.103,4203.206,3906.000,4548.000,2285426.250,531,,Surface,3,,Image 1,1,
Intensity Mean,166.463,19817.943,2653.835,3069.633,1315.021,640.000,3840.000,1409186.500,531,,Surface,4,,Image 1,1,
Intensity Mean,1417.427,15635.688,3373.562,1106.203,3298.643,2724.000,3828.000,1791361.375,531,,Surface,5,,Image 1,1,
Intensity Mean,3199.696,7519.600,4282.168,558.840,4193.649,3894.000,4542.000,2273831.500,531,,Surface,6,,Image 1,1,
Intensity Mean,166.463,19817.943,2646.601,3065.590,1315.021,632.000,3824.000,1405345.375,531,,Surface,7,,Image 1,1,
Intensity Sum,12454.000,804489920.000,64159544.000,94987056.000,32936216.000,14155776.000,67371008.000,34068717568.000,531,,Surface,1,,Image 1,1,
Intensity Sum,15756.000,597106368.000,43186208.000,67858808.000,19222296.000,7602176.000,45350912.000,22931877888.000,531,,Surface,2,,Image 1,1,
Intensity Sum,37598.000,941757312.000,57968828.000,99077904.000,24314590.000,10223616.000,53477376.000,30781448192.000,531,,Surface,3,,Image 1,1,
Intensity Sum,7311.000,770598016.000,48156768.000,96639744.000,7466691.000,1835008.000,44564480.000,25571241984.000,531,,Surface,4,,Image 1,1,
Intensity Sum,15756.000,597106368.000,43060964.000,67708128.000,19168360.000,7602176.000,45350912.000,22865371136.000,531,,Surface,5,,Image 1,1,
Intensity Sum,37598.000,941757312.000,57678004.000,98623944.000,23924060.000,10223616.000,53215232.000,30627018752.000,531,,Surface,6,,Image 1,1,
Intensity Sum,7311.000,770598016.000,47976932.000,96340720.000,7466691.000,1835008.000,44564480.000,25475751936.000,531,,Surface,7,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,531.000,531,,Surface,,,,1,
Volume,0.377,33316.906,2221.840,3528.621,1022.495,464.000,2144.000,1179797.000,531,µm^3,Surface,,,,1,
