
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,1.898,6067.016,739.345,818.355,479.132,246.000,894.000,545636.438,738,µm^2,Surface,,,,1,
Intensity Mean,892.198,29658.670,4682.230,2672.153,4149.389,3048.000,5588.000,3455486.250,738,,Surface,1,,Image 1,1,
Intensity Mean,941.792,19168.646,5416.367,2088.467,5363.819,3784.000,6676.000,3997279.000,738,,Surface,2,,Image 1,1,
Intensity Mean,3161.782,27867.000,3944.195,1193.627,3798.363,3592.000,4088.000,2910815.500,738,,Surface,3,,Image 1,1,
Intensity Mean,83.286,26349.881,1314.785,1547.686,891.028,488.000,1672.000,970311.062,738,,Surface,4,,Image 1,1,
Intensity Mean,941.792,19168.646,5412.048,2087.072,5363.819,3784.000,6676.000,3994091.750,738,,Surface,5,,Image 1,1,
Intensity Mean,3161.782,27867.000,3938.886,1191.868,3795.905,3592.000,4072.000,2906897.750,738,,Surface,6,,Image 1,1,
Intensity Mean,83.286,26349.881,1313.878,1547.409,891.028,488.000,1672.000,969642.125,738,,Surface,7,,Image 1,1,
Intensity Sum,12321.000,618007680.000,41417892.000,65078316.000,21615824.000,7077888.000,44171264.000,30566404096.000,738,,Surface,1,,Image 1,1,
Intensity Sum,14497.000,755207616.000,55843860.000,90283088.000,25451380.000,7077888.000,59899904.000,41212768256.000,738,,Surface,2,,Image 1,1,
Intensity Sum,25171.000,712352896.000,38025732.000,64252508.000,16950820.000,6553600.000,38010880.000,28062990336.000,738,,Surface,3,,Image 1,1,
Intensity Sum,416.000,202904496.000,12984902.000,23695016.000,4028583.000,1376256.000,12189696.000,9582857216.000,738,,Surface,4,,Image 1,1,
Intensity Sum,14497.000,755207616.000,55804064.000,90208352.000,25451380.000,7077888.000,59899904.000,41183399936.000,738,,Surface,5,,Image 1,1,
Intensity Sum,25171.000,712352896.000,37975492.000,64119744.000,16950820.000,6553600.000,38010880.000,28025913344.000,738,,Surface,6,,Image 1,1,
Intensity Sum,416.000,202904496.000,12975497.000,23676456.000,4028583.000,1376256.000,12189696.000,9575916544.000,738,,Surface,7,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,738.000,738,,Surface,,,,1,
Volume,0.157,24069.387,1657.342,2628.420,771.072,312.000,1728.000,1223118.000,738,µm^3,Surface,,,,1,
