
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,3.743,4720.643,964.084,775.567,744.571,422.000,1273.000,661361.438,686,µm^2,Surface,,,,1,
Intensity Mean,119.286,19365.873,3047.097,2113.237,2603.562,1724.000,3828.000,2090308.750,686,,Surface,1,,Image 1,1,
Intensity Mean,481.195,10890.922,2841.006,964.321,2794.224,2230.000,3234.000,1948929.875,686,,Surface,2,,Image 1,1,
Intensity Mean,380.199,18871.334,6135.331,1670.933,5779.473,5192.000,6856.000,4208837.000,686,,Surface,3,,Image 1,1,
Intensity Mean,117.346,11487.328,2345.982,2047.935,1763.364,806.000,3232.000,1609343.875,686,,Surface,4,,Image 1,1,
Intensity Mean,466.996,10890.922,2835.973,965.248,2776.113,2228.000,3234.000,1945477.250,686,,Surface,5,,Image 1,1,
Intensity Mean,348.836,18871.334,6119.077,1669.621,5743.546,5180.000,6820.000,4197687.000,686,,Surface,6,,Image 1,1,
Intensity Mean,117.346,11487.328,2342.207,2048.464,1763.023,804.000,3232.000,1606753.625,686,,Surface,7,,Image 1,1,
Intensity Sum,3337.000,192591808.000,28252540.000,29054558.000,20267074.000,9371648.000,35061760.000,19381241856.000,686,,Surface,1,,Image 1,1,
Intensity Sum,17078.000,161814880.000,29285300.000,29794804.000,19767812.000,8716288.000,38862840.000,20089714688.000,686,,Surface,2,,Image 1,1,
Intensity Sum,13904.000,689777152.000,71447064.000,88326528.000,39952536.000,18612224.000,85590008.000,49012686848.000,686,,Surface,3,,Image 1,1,
Intensity Sum,1773.000,304802080.000,32322618.000,50113668.000,10885395.000,3276800.000,39387132.000,22173315072.000,686,,Surface,4,,Image 1,1,
Intensity Sum,17078.000,161814880.000,29246334.000,29776364.000,19717460.000,8617984.000,38469632.000,20062986240.000,686,,Surface,5,,Image 1,1,
Intensity Sum,13904.000,688600832.000,71286664.000,88205144.000,39952536.000,18612224.000,85590008.000,48902647808.000,686,,Surface,6,,Image 1,1,
Intensity Sum,1773.000,304802080.000,32281536.000,50095432.000,10885395.000,3276800.000,39190528.000,22145134592.000,686,,Surface,7,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,686.000,686,,Surface,,,,1,
Volume,0.556,11344.003,1820.329,1838.319,1248.366,598.000,2358.000,1248745.875,686,µm^3,Surface,,,,1,
