
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,0.031,4425.816,978.688,715.221,853.055,497.000,1323.000,571553.562,584,µm^2,Surface,,,,1,
Intensity Mean,95.000,3953.873,1070.255,612.676,1007.813,647.500,1353.000,625029.000,584,,Surface,1,,Image 1,1,
Intensity Mean,287.093,11626.730,1868.635,682.438,1801.063,1564.000,2092.000,1091282.500,584,,Surface,2,,Image 1,1,
Intensity Mean,515.667,15626.333,4474.792,1267.484,4293.638,3818.000,5012.000,2613278.500,584,,Surface,3,,Image 1,1,
Intensity Mean,106.579,12607.379,2345.476,2112.235,1672.629,746.000,3278.000,1369757.625,584,,Surface,4,,Image 1,1,
Intensity Mean,287.093,11626.730,1866.246,682.377,1801.063,1546.000,2092.000,1089887.875,584,,Surface,5,,Image 1,1,
Intensity Mean,515.667,15626.333,4465.631,1267.548,4287.901,3804.000,5006.000,2607928.500,584,,Surface,6,,Image 1,1,
Intensity Mean,106.579,12607.379,2341.537,2109.270,1660.989,746.000,3266.000,1367457.750,584,,Surface,7,,Image 1,1,
Intensity Sum,95.000,73658672.000,11324353.000,10643001.000,9022153.000,4079617.000,15892480.000,6613422080.000,584,,Surface,1,,Image 1,1,
Intensity Sum,2986.000,117505848.000,19636048.000,18209748.000,15015039.000,6307840.000,27295744.000,11467452416.000,584,,Surface,2,,Image 1,1,
Intensity Sum,1547.000,534539584.000,54658372.000,64939864.000,36181568.000,15859713.000,68419584.000,31920490496.000,584,,Surface,3,,Image 1,1,
Intensity Sum,138.000,380620896.000,33611240.000,51997080.000,13106218.000,3211264.750,38535172.000,19628963840.000,584,,Surface,4,,Image 1,1,
Intensity Sum,2986.000,117505848.000,19618068.000,18203410.000,15015039.000,6307840.000,27295744.000,11456951296.000,584,,Surface,5,,Image 1,1,
Intensity Sum,1547.000,534539584.000,54587656.000,64874220.000,36138536.000,15859713.000,68419584.000,31879190528.000,584,,Surface,6,,Image 1,1,
Intensity Sum,138.000,380620896.000,33577140.000,51988192.000,13058677.000,3211264.750,38404096.000,19609051136.000,584,,Surface,7,,Image 1,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,584.000,584,,Surface,,,,1,
Volume,0.000,11259.957,1874.398,1722.307,1463.646,716.000,2508.000,1094648.500,584,µm^3,Surface,,,,1,
