Image,Area,D54D2,Iba1
2025-02-04_ICinject250109_rLP_mouse19_M_sliceB1_HPC_10xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2-Ortho-Stitch,2567088.01,2.8555E9,1.4686E10
2025-02-04_ICinject250109_rLP_mouse19_M_sliceB2_HPC_10xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2-Ortho-Stitch,2662476.54,2.9940E9,1.5393E10
2025-02-04_ICinject250109_rLP_mouse21_F_sliceB2_HPC_10xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2-Ortho-Stitch,2955004.58,2.3878E9,1.4099E10
2025-02-04_ICinject250109_rLP_mouse22_F_sliceB2_HPC_10xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2-Ortho-Stitch,2868539.99,2.9466E9,1.5965E10
2025-02-04_ICinject250109_saline_mouse18_M_sliceB1_HPC_10xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2-Ortho-Stitch,2987765.14,3.8013E9,1.5941E10
2025-02-04_ICinject250109_saline_mouse18_M_sliceB2_HPC_10xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2-Ortho-Stitch,3247299.05,5.1525E9,2.3105E10
2025-02-04_ICinject250109_saline_mouse20_F_sliceB2_HPC_10xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2-Ortho-Stitch,2965585.31,4.9975E9,1.7509E10
2025-02-04_ICinject250113_saline_mouse25_F_sliceB2_HPC_10xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2-Ortho-Stitch,2763522.14,5.8034E9,1.9084E10
2025-02-05_ICinject250109_rLP_mouse21_F_sliceB1_HPC_10xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2-Ortho-Stitch,2877403.2,2.2495E9,1.2989E10
2025-02-05_ICinject250109_rLP_mouse22_F_sliceB1_HPC_10xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2-Ortho-Stitch,2613563.81,3.2248E9,1.6171E10
2025-02-05_ICinject250109_saline_mouse20_F_sliceB1_HPC_10xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2-Ortho-Stitch,2673608.49,4.5135E9,1.4820E10
2025-02-05_ICinject250113_rLP_mouse24_M_sliceB1_HPC_10xtile_350-Hoechst_488-BODIPY_555-IBA1_647-D54D2-Ortho-Stitch,3335180.63,3.5436E9,1.8960E10
